semantics 1
# The behaviour fingerprint. See docs/SEMANTICS-VERSION.md §5.
# scenario/pos kind command | verdict | T[trades] E[events] | state last mark bid ask counters | digest

== fifo (fifo, stp=CANCEL_NEWEST, maxOrders=100000, shard=0)
fifo/0246 SUBMIT      u2 S L 101x8 IOC+DECREMENT+g2 | CANCELLED                    | T[26:101x2 b155 s162 m155 t162 S seq26 27:101x3 b159 s162 m159 t162 S seq27] E[ACCEPTED#162/CANCELLED/5 TRADE#162/101x2 TRADE#162/101x3 CANCELED#162/CANCELLED/5] | OPEN last=101 mark=0 bid=100:3 ask=103:7 n=10 oid=162 tid=27 eid=226 | 76e963ea07ca90e9
fifo/0247 CANCEL      u3 <-243                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=101 mark=0 bid=100:3 ask=103:7 n=10 oid=162 tid=27 eid=226 | 76e963ea07ca90e9
fifo/0248 SUBMIT      u0 S L 104x1 GTC+ALLOW   | NEW                          | T[] E[ACCEPTED#163/NEW/0] | OPEN last=101 mark=0 bid=100:3 ask=103:7 n=11 oid=163 tid=27 eid=227 | a49ce2cfb8b03b29
fifo/0249 SUBMIT      u0 S L 100x8 GTC+PO+g2   | REJECTED:POST_ONLY_WOULD_CROSS | T[] E[REJECTED#164/POST_ONLY_WOULD_CROSS/REJECTED/0] | OPEN last=101 mark=0 bid=100:3 ask=103:7 n=11 oid=164 tid=27 eid=228 | 5deea23bba8ef131
fifo/0250 SUBMIT      u1 S L 103x1 GTC         | NEW                          | T[] E[ACCEPTED#165/NEW/0] | OPEN last=101 mark=0 bid=100:3 ask=103:8 n=12 oid=165 tid=27 eid=229 | 2cf9933c967c4f0e
fifo/0251 SUBMIT      u3 B M 102x8 FOK         | REJECTED:MARKET_NO_LIQUIDITY | T[] E[ACCEPTED#166/CANCELLED/0 CANCELED#166/CANCELLED/0] | OPEN last=101 mark=0 bid=100:3 ask=103:8 n=12 oid=166 tid=27 eid=231 | f575ad44ad0d681d
fifo/0252 SUBMIT      u3 S L 99x9 GTC+DECREMENT+g2 | FILLED                       | T[28:100x3 b138 s167 m138 t167 S seq28 29:99x2 b83 s167 m83 t167 S seq29 30:99x4 b129 s167 m129 t167 S seq30] E[ACCEPTED#167/FILLED/9 TRADE#167/100x3 TRADE#167/99x2 TRADE#167/99x4] | OPEN last=99 mark=0 bid=99:12 ask=103:8 n=10 oid=167 tid=30 eid=235 | da81cbc01ec03111
fifo/0253 SUBMIT      u2 B L 101x5 GTC+g2      | NEW                          | T[] E[ACCEPTED#168/NEW/0] | OPEN last=99 mark=0 bid=101:5 ask=103:8 n=11 oid=168 tid=30 eid=236 | f45f582da04215ed
fifo/0254 CANCEL_ONLY                          | OK                           | T[] E[CANCEL_ONLY#0] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=11 oid=168 tid=30 eid=237 | 0f386940c1ffff74
fifo/0255 CANCEL      u3 <-244                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=11 oid=168 tid=30 eid=237 | 0f386940c1ffff74
fifo/0256 CANCEL_ALL  u0                       | CANCELLED n=2                | T[] E[CANCELED#118/CANCELLED/0 CANCELED#163/CANCELLED/0] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=168 tid=30 eid=239 | 78850513bcb69064
fifo/0257 CANCEL      u3 <-251                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=168 tid=30 eid=239 | 78850513bcb69064
fifo/0258 SUBMIT      u0 B L 100x5 GTC+CANCEL_BOTH+g2 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#169/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=169 tid=30 eid=240 | 90177902723d69b6
fifo/0259 REDUCE      u3 <-252 to 5            | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=169 tid=30 eid=240 | 90177902723d69b6
fifo/0260 CANCEL      u2 <-250                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=169 tid=30 eid=240 | 90177902723d69b6
fifo/0261 REDUCE      u0 <-249 to 3            | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=169 tid=30 eid=240 | 90177902723d69b6
fifo/0262 SUBMIT      u0 B L 99x6 GTC+PO       | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#170/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=170 tid=30 eid=241 | 0597b97b77239ed0
fifo/0263 SUBMIT      u1 S L 104x2 GTC+DECREMENT | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#171/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=171 tid=30 eid=242 | 2095e67b1c6b1eea
fifo/0264 CANCEL      u3 <-247                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=101:5 ask=103:8 n=9 oid=171 tid=30 eid=242 | 2095e67b1c6b1eea
fifo/0265 CANCEL_ALL  u2                       | CANCELLED n=3                | T[] E[CANCELED#168/CANCELLED/0 CANCELED#161/CANCELLED/0 CANCELED#79/CANCELLED/0] | CANCEL_ONLY last=99 mark=0 bid=99:12 ask=103:4 n=6 oid=171 tid=30 eid=245 | 6e821f3db3cc7335
fifo/0266 SUBMIT      u2 B L 100x9 IOC+CANCEL_NEWEST | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#172/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=99:12 ask=103:4 n=6 oid=172 tid=30 eid=246 | 84961a79688583c4
fifo/0267 CANCEL      u3 <-244                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=99:12 ask=103:4 n=6 oid=172 tid=30 eid=246 | 84961a79688583c4
fifo/0268 CANCEL      u2 <-246                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=99:12 ask=103:4 n=6 oid=172 tid=30 eid=246 | 84961a79688583c4
fifo/0269 REDUCE      u2 <-246 to 2            | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=99 mark=0 bid=99:12 ask=103:4 n=6 oid=172 tid=30 eid=246 | 84961a79688583c4
fifo/0270 RESUME                               | OK                           | T[] E[RESUMED#0] | OPEN last=99 mark=0 bid=99:12 ask=103:4 n=6 oid=172 tid=30 eid=247 | a00f347a36dee709
fifo/0271 SUBMIT      u3 B L 99x8 GTC+g1       | NEW                          | T[] E[ACCEPTED#173/NEW/0] | OPEN last=99 mark=0 bid=99:20 ask=103:4 n=7 oid=173 tid=30 eid=248 | e8b75e03e5bf0898
fifo/0272 REPLACE     u0 S L 98x2 IOC <-262    | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=99 mark=0 bid=99:20 ask=103:4 n=7 oid=173 tid=30 eid=248 | e8b75e03e5bf0898
fifo/0273 SUBMIT      u1 B L 98x8 GTC          | NEW                          | T[] E[ACCEPTED#174/NEW/0] | OPEN last=99 mark=0 bid=99:20 ask=103:4 n=8 oid=174 tid=30 eid=249 | 5a2098e02949c6fe
fifo/0274 SUBMIT      u2 S L 99x3 IOC+PO       | REJECTED:POST_ONLY_WOULD_CROSS | T[] E[REJECTED#175/POST_ONLY_WOULD_CROSS/REJECTED/0] | OPEN last=99 mark=0 bid=99:20 ask=103:4 n=8 oid=175 tid=30 eid=250 | 88569269b0c58a2a
fifo/0275 SUBMIT      u0 S L 102x2 GTC+g2      | NEW                          | T[] E[ACCEPTED#176/NEW/0] | OPEN last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=176 tid=30 eid=251 | ff49463343a51d43
fifo/0276 CANCEL      u2 <-264                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=176 tid=30 eid=251 | ff49463343a51d43
fifo/0277 REDUCE      u0 <-260 to 2            | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=176 tid=30 eid=251 | ff49463343a51d43
fifo/0278 REDUCE      u0 <-277 to 1            | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=176 tid=30 eid=251 | ff49463343a51d43
fifo/0279 SUBMIT      u3 B L 101x2 GTC         | NEW                          | T[] E[ACCEPTED#177/NEW/0] | OPEN last=99 mark=0 bid=101:2 ask=102:2 n=10 oid=177 tid=30 eid=252 | d28effe7c0c66e5d
fifo/0280 SUBMIT      u2 B L 104x9 GTC+PO      | REJECTED:POST_ONLY_WOULD_CROSS | T[] E[REJECTED#178/POST_ONLY_WOULD_CROSS/REJECTED/0] | OPEN last=99 mark=0 bid=101:2 ask=102:2 n=10 oid=178 tid=30 eid=253 | c23aef6973d43a0c
fifo/0281 CANCEL      u2 <-268                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=99 mark=0 bid=101:2 ask=102:2 n=10 oid=178 tid=30 eid=253 | c23aef6973d43a0c
fifo/0282 CANCEL_ONLY                          | OK                           | T[] E[CANCEL_ONLY#0] | CANCEL_ONLY last=99 mark=0 bid=101:2 ask=102:2 n=10 oid=178 tid=30 eid=254 | 416eb724d25e265e
fifo/0283 SUBMIT      u1 S L 102x6 GTC+CANCEL_BOTH | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#179/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=101:2 ask=102:2 n=10 oid=179 tid=30 eid=255 | 26d31e5739228335
fifo/0284 SUBMIT      u3 S L 98x9 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#180/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=101:2 ask=102:2 n=10 oid=180 tid=30 eid=256 | 37c7e97c5c834243
fifo/0285 REPLACE     u3 B L 103x2 IOC <-279   | REJECTED:NEW_ORDERS_HALTED   | T[] E[CANCELED#177/CANCELLED/0 REJECTED#181/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=181 tid=30 eid=258 | e5133f4f93e0a1aa
fifo/0286 SUBMIT      u3 B L 98x4 IOC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#182/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=182 tid=30 eid=259 | f9ac0d567c72f0e8
fifo/0287 SUBMIT      u2 B L 99x7 FOK+DECREMENT | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#183/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=183 tid=30 eid=260 | 6f2694a6f5d79ef9
fifo/0288 SUBMIT      u2 S L 103x8 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#184/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=184 tid=30 eid=261 | fe65a78409c051fb
fifo/0289 SUBMIT      u0 B L 98x4 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#185/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=185 tid=30 eid=262 | ef6c7fadcfb4f9d5
fifo/0290 RESUME                               | OK                           | T[] E[RESUMED#0] | OPEN last=99 mark=0 bid=99:20 ask=102:2 n=9 oid=185 tid=30 eid=263 | 271b530ace52b157
fifo/0291 SUBMIT      u1 S L 102x7 GTC+DECREMENT+g2 | NEW                          | T[] E[ACCEPTED#186/NEW/0] | OPEN last=99 mark=0 bid=99:20 ask=102:9 n=10 oid=186 tid=30 eid=264 | eb8b3ffb6f84a477
fifo/0292 SUBMIT      u1 S L 100x2 FOK+ALLOW   | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#187/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=99 mark=0 bid=99:20 ask=102:9 n=10 oid=187 tid=30 eid=265 | 32a2ce9d86d8e9d7
fifo/0293 SUBMIT      u1 B L 104x1 FOK+CANCEL_OLDEST+g2 | FILLED                       | T[31:103x1 b188 s152 m152 t188 B seq31] E[ACCEPTED#188/FILLED/1 CANCELED#176/CANCELLED/0 CANCELED#186/CANCELLED/0 TRADE#188/103x1] | OPEN last=103 mark=0 bid=99:20 ask=103:3 n=8 oid=188 tid=31 eid=269 | ebeae732f5efca56
fifo/0294 SUBMIT      u0 S L 98x7 GTC+g2       | FILLED                       | T[32:99x3 b129 s189 m129 t189 S seq32 33:99x4 b134 s189 m134 t189 S seq33] E[ACCEPTED#189/FILLED/7 TRADE#189/99x3 TRADE#189/99x4] | OPEN last=99 mark=0 bid=99:13 ask=103:3 n=6 oid=189 tid=33 eid=272 | ec0fb5b744e59a2b
fifo/0295 SUBMIT      u2 B L 98x6 GTC+CANCEL_BOTH | NEW                          | T[] E[ACCEPTED#190/NEW/0] | OPEN last=99 mark=0 bid=99:13 ask=103:3 n=7 oid=190 tid=33 eid=273 | b371961e3da25bb3
fifo/0296 SUBMIT      u1 S L 104x5 GTC+CANCEL_OLDEST+g2+priv | NEW                          | T[] E[ACCEPTED#191/NEW/0] | OPEN last=99 mark=0 bid=99:13 ask=103:3 n=8 oid=191 tid=33 eid=274 | ffa04a8863f09008
fifo/0297 SUBMIT      u3 B L 102x2 IOC+CANCEL_NEWEST | CANCELLED                    | T[] E[ACCEPTED#192/CANCELLED/0 CANCELED#192/CANCELLED/0] | OPEN last=99 mark=0 bid=99:13 ask=103:3 n=8 oid=192 tid=33 eid=276 | a8159e1410466b5e
fifo/0298 REPLACE     u0 B L 104x3 GTC+ALLOW <-288 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=99 mark=0 bid=99:13 ask=103:3 n=8 oid=192 tid=33 eid=276 | a8159e1410466b5e
fifo/0299 SUBMIT      u0 B L 100x2 GTC         | NEW                          | T[] E[ACCEPTED#193/NEW/0] | OPEN last=99 mark=0 bid=100:2 ask=103:3 n=9 oid=193 tid=33 eid=277 | b26d148c70537bb8
fifo/0300 CANCEL      u0 <-299                 | CANCELLED                    | T[] E[CANCELED#193/CANCELLED/0] | OPEN last=99 mark=0 bid=99:13 ask=103:3 n=8 oid=193 tid=33 eid=278 | a0d6a4d187a76c3c
fifo/0301 REPLACE     u2 B L 104x4 GTC+CANCEL_OLDEST+priv <-280 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=99 mark=0 bid=99:13 ask=103:3 n=8 oid=193 tid=33 eid=278 | a0d6a4d187a76c3c
fifo/0302 SUBMIT      u3 B L 100x3 GTC+CANCEL_NEWEST | NEW                          | T[] E[ACCEPTED#194/NEW/0] | OPEN last=99 mark=0 bid=100:3 ask=103:3 n=9 oid=194 tid=33 eid=279 | 81be9ce6a42bec63
fifo/0303 SUBMIT      u2 S L 104x9 GTC         | NEW                          | T[] E[ACCEPTED#195/NEW/0] | OPEN last=99 mark=0 bid=100:3 ask=103:3 n=10 oid=195 tid=33 eid=280 | 3a87c9943b0b571b
fifo/0304 SUBMIT      u1 B L 99x7 IOC+ALLOW+g2 | CANCELLED                    | T[] E[ACCEPTED#196/CANCELLED/0 CANCELED#196/CANCELLED/0] | OPEN last=99 mark=0 bid=100:3 ask=103:3 n=10 oid=196 tid=33 eid=282 | 5741aeaaadaa79cb
fifo/0305 SUBMIT      u2 B L 100x5 FOK+CANCEL_OLDEST+g1 | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#197/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=99 mark=0 bid=100:3 ask=103:3 n=10 oid=197 tid=33 eid=283 | f7dabc996dfce38c
fifo/0306 SUBMIT      u1 S L 99x8 GTC+g1       | CANCELLED                    | T[34:100x3 b194 s198 m194 t198 S seq34] E[ACCEPTED#198/CANCELLED/3 TRADE#198/100x3 CANCELED#198/CANCELLED/3] | OPEN last=100 mark=0 bid=99:13 ask=103:3 n=9 oid=198 tid=34 eid=286 | e760f088900ee3cb
fifo/0307 SUBMIT      u2 S M 99x4 GTC          | FILLED                       | T[35:99x4 b154 s199 m154 t199 S seq35] E[ACCEPTED#199/FILLED/4 TRADE#199/99x4] | OPEN last=99 mark=0 bid=99:9 ask=103:3 n=9 oid=199 tid=35 eid=288 | 93466dd34cf188db
fifo/0308 SUBMIT      u2 B M 102x2 GTC+CANCEL_BOTH+g2 | FILLED                       | T[36:103x2 b200 s152 m152 t200 B seq36] E[ACCEPTED#200/FILLED/2 TRADE#200/103x2] | OPEN last=103 mark=0 bid=99:9 ask=103:1 n=8 oid=200 tid=36 eid=290 | 6169e10af1d0119a
fifo/0309 REPLACE     u1 S L 103x5 GTC+CANCEL_BOTH <-293 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=103 mark=0 bid=99:9 ask=103:1 n=8 oid=200 tid=36 eid=290 | 6169e10af1d0119a
fifo/0310 SUBMIT      u3 B L 99x3 FOK+PO+g1    | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#201/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=103 mark=0 bid=99:9 ask=103:1 n=8 oid=201 tid=36 eid=291 | 1117fb14a4838bbd
fifo/0311 SUBMIT      u3 B L 99x1 IOC          | CANCELLED                    | T[] E[ACCEPTED#202/CANCELLED/0 CANCELED#202/CANCELLED/0] | OPEN last=103 mark=0 bid=99:9 ask=103:1 n=8 oid=202 tid=36 eid=293 | b44e7a1798895cde
fifo/0312 SUBMIT      u3 B L 98x9 GTC+DECREMENT | NEW                          | T[] E[ACCEPTED#203/NEW/0] | OPEN last=103 mark=0 bid=99:9 ask=103:1 n=9 oid=203 tid=36 eid=294 | 51b705954f2577d1
fifo/0313 SUBMIT      u3 B L 101x7 FOK+ALLOW   | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#204/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=103 mark=0 bid=99:9 ask=103:1 n=9 oid=204 tid=36 eid=295 | db4d27b552f33620
fifo/0314 SUBMIT      u1 B M 100x9 GTC         | REJECTED:MARKET_NO_LIQUIDITY | T[] E[ACCEPTED#205/CANCELLED/0 CANCELED#205/CANCELLED/0] | OPEN last=103 mark=0 bid=99:9 ask=103:1 n=9 oid=205 tid=36 eid=297 | 54652a2a7d60d52c
fifo/0315 CANCEL_ALL  u3                       | CANCELLED n=3                | T[] E[CANCELED#154/CANCELLED/4 CANCELED#173/CANCELLED/0 CANCELED#203/CANCELLED/0] | OPEN last=103 mark=0 bid=98:14 ask=103:1 n=6 oid=205 tid=36 eid=300 | 4155174e980e0219
fifo/0316 SUBMIT      u2 S L 103x1 GTC         | NEW                          | T[] E[ACCEPTED#206/NEW/0] | OPEN last=103 mark=0 bid=98:14 ask=103:2 n=7 oid=206 tid=36 eid=301 | 0d2443b2c4b45c35
fifo/0317 SUBMIT      u0 B L 103x4 IOC+ALLOW   | CANCELLED                    | T[37:103x1 b207 s165 m165 t207 B seq37 38:103x1 b207 s206 m206 t207 B seq38] E[ACCEPTED#207/CANCELLED/2 TRADE#207/103x1 TRADE#207/103x1 CANCELED#207/CANCELLED/2] | OPEN last=103 mark=0 bid=98:14 ask=104:23 n=5 oid=207 tid=38 eid=305 | 148099300f165692
fifo/0318 REDUCE      u3 <-302 to 2            | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=103 mark=0 bid=98:14 ask=104:23 n=5 oid=207 tid=38 eid=305 | 148099300f165692
fifo/0319 SUBMIT      u1 B L 102x4 FOK         | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#208/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=103 mark=0 bid=98:14 ask=104:23 n=5 oid=208 tid=38 eid=306 | 160be74ac00dc4c5
fifo/0320 SUBMIT      u2 S L 102x7 GTC+g2      | NEW                          | T[] E[ACCEPTED#209/NEW/0] | OPEN last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=209 tid=38 eid=307 | 4887e510b150a8bf
fifo/0321 REPLACE     u2 B L 100x1 GTC+CANCEL_NEWEST+g1 <-301 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=209 tid=38 eid=307 | 4887e510b150a8bf
fifo/0322 HALT                                 | OK                           | T[] E[HALTED#0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=209 tid=38 eid=308 | e659909120ee50ff
fifo/0323 SUBMIT      u1 B L 99x7 IOC+g2       | REJECTED:TRADING_HALTED      | T[] E[REJECTED#210/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=210 tid=38 eid=309 | cd9358ae9901712c
fifo/0324 SUBMIT      u0 B L 99x1 GTC+g1       | REJECTED:TRADING_HALTED      | T[] E[REJECTED#211/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=211 tid=38 eid=310 | 986c469e777db17a
fifo/0325 CANCEL      u2 <-307                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=211 tid=38 eid=310 | 986c469e777db17a
fifo/0326 CANCEL      u2 <-246                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=211 tid=38 eid=310 | 986c469e777db17a
fifo/0327 CANCEL      u1 <-309                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=211 tid=38 eid=310 | 986c469e777db17a
fifo/0328 REPLACE     u0 B M 102x2 GTC <-271   | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=211 tid=38 eid=310 | 986c469e777db17a
fifo/0329 SUBMIT      u2 B L 98x4 GTC+g2       | REJECTED:TRADING_HALTED      | T[] E[REJECTED#212/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=212 tid=38 eid=311 | 2a73710b5dea4c59
fifo/0330 SUBMIT      u0 S L 98x1 GTC+PO       | REJECTED:TRADING_HALTED      | T[] E[REJECTED#213/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=213 tid=38 eid=312 | 60eb3d86609085a6
fifo/0331 SUBMIT      u1 B L 103x2 GTC+g2      | REJECTED:TRADING_HALTED      | T[] E[REJECTED#214/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=214 tid=38 eid=313 | 8c1a26b8fe8b85fe
fifo/0332 SUBMIT      u1 B L 102x8 GTC+ALLOW   | REJECTED:TRADING_HALTED      | T[] E[REJECTED#215/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=215 tid=38 eid=314 | 292719b8b6a32e95
fifo/0333 SUBMIT      u1 B L 100x5 GTC+CANCEL_BOTH | REJECTED:TRADING_HALTED      | T[] E[REJECTED#216/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=216 tid=38 eid=315 | a5e666420c270b30
fifo/0334 SUBMIT      u1 B M 104x4 GTC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#217/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=217 tid=38 eid=316 | d3ec50a5e1ea3148
fifo/0335 SUBMIT      u2 B M 99x9 GTC+g2       | REJECTED:TRADING_HALTED      | T[] E[REJECTED#218/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=218 tid=38 eid=317 | fb88294ada50452b
fifo/0336 SUBMIT      u0 S L 100x6 GTC+DECREMENT | REJECTED:TRADING_HALTED      | T[] E[REJECTED#219/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=219 tid=38 eid=318 | 87e4fd3400e4d60a
fifo/0337 SUBMIT      u3 B L 101x9 GTC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#220/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=220 tid=38 eid=319 | 21e91c7e6e0730c6
fifo/0338 SUBMIT      u1 B L 99x6 GTC          | REJECTED:TRADING_HALTED      | T[] E[REJECTED#221/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=221 tid=38 eid=320 | b9fccf7790e92f2f
fifo/0339 SUBMIT      u3 B L 103x4 GTC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#222/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=222 tid=38 eid=321 | 4f57cca3ea790dd8
fifo/0340 SUBMIT      u3 S L 101x9 GTC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#223/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=223 tid=38 eid=322 | c07868af8c5c99f2
fifo/0341 SUBMIT      u0 S L 102x3 IOC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#224/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=224 tid=38 eid=323 | 137f50ff275fa00a
fifo/0342 SUBMIT      u0 S L 98x8 GTC          | REJECTED:TRADING_HALTED      | T[] E[REJECTED#225/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=225 tid=38 eid=324 | d1a45b8995c69e4f
fifo/0343 SUBMIT      u3 B L 103x7 GTC+CANCEL_NEWEST | REJECTED:TRADING_HALTED      | T[] E[REJECTED#226/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=226 tid=38 eid=325 | 8a1e6bef9765c764
fifo/0344 SUBMIT      u1 S L 100x6 GTC+ALLOW   | REJECTED:TRADING_HALTED      | T[] E[REJECTED#227/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=227 tid=38 eid=326 | df895b7cf928da14
fifo/0345 CANCEL      u0 <-330                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=227 tid=38 eid=326 | df895b7cf928da14
fifo/0346 SUBMIT      u0 S L 98x9 GTC+PO+g2    | REJECTED:TRADING_HALTED      | T[] E[REJECTED#228/TRADING_HALTED/REJECTED/0] | HALTED last=103 mark=0 bid=98:14 ask=102:7 n=6 oid=228 tid=38 eid=327 | e81d18853d9360ac
